DateTime,Entries,UniqueIPs
1516987099,1922,1922
1516990684,1921,1921
1516991588,1922,1922
1516994293,1920,1920
1517001485,1917,1917
1517008697,1921,1921
1517010492,1922,1922
1517015887,1919,1919
1517023086,1914,1914
1517030290,1907,1907
1517037492,1906,1906
1517044694,1905,1905
1517048291,1907,1907
1517051883,1902,1902
1517059091,1900,1900
1517066287,1899,1899
1517069885,1900,1900
1517071691,1885,1885
1517073487,1883,1883
1517077098,1882,1882
1517080685,1879,1879
1517087880,1909,1909
1517095080,1909,1909
1517102290,1913,1913
1517109484,1908,1908
1517111284,1909,1909
1517113095,1908,1908
1517116695,1905,1905
1517122085,1906,1906
1517123883,1904,1904
1517131080,1900,1900
1517134679,1901,1901
1517138283,1899,1899
1517145482,1901,1901
1517147277,1900,1900
1517153669,1899,1899
1517159892,1903,1903
1517160783,1902,1902
1517163501,1900,1900
1517167085,1914,1914
1517174288,1916,1916
1517182392,1890,1890
1517188677,1894,1894
1517195897,1896,1896
1517196793,1895,1895
1517201287,1896,1896
1517202241,1897,1897
1517203099,1901,1901
1517205828,1899,1899
1517210286,1906,1906
1517217505,1906,1906
1517224688,1907,1907
1517232796,1912,1912
1517239082,1915,1915
1517246290,1922,1922
1517247177,1917,1917
1517249028,1918,1918
1517253483,1922,1922
1517260694,1921,1921
1517265185,1922,1922
1517266982,1923,1923
1517267886,1921,1921
1517271477,1920,1920
1517275095,1923,1923
1517277783,1924,1924
1517282284,1921,1921
1517289489,1925,1925
1517296685,1922,1922
1517297581,1924,1924
1517303043,1925,1925
1517303884,1926,1926
1517310242,1927,1927
1517311087,1925,1925
1517311983,1923,1923
1517318287,1927,1927
1517325487,1926,1926
1517334526,1931,1931
1517347099,1935,1935
1517354290,1934,1934
1517357039,1933,1933
1517361501,1932,1932
1517368685,1928,1928
1517371439,1929,1929
1517373194,1930,1930
1517374091,1929,1929
1517375901,1927,1927
1517382240,1926,1926
1517383095,1925,1925
1517390292,1928,1928
1517397488,1932,1932
1517404682,1932,1932
1517409190,1933,1933
1517411887,1923,1923
1517413690,1920,1920
1517415489,1921,1921
1517419176,1916,1916
1517422691,1915,1915
1517426282,1922,1922
1517429887,1923,1923
1517433485,1923,1923
1517437099,1922,1922
1517440693,1924,1924
1517444291,1923,1923
1517447893,1924,1924
1517455094,1932,1932
1517462291,1931,1931
1517469490,1934,1934
1517473090,1935,1935
1517476684,1938,1938
1517483898,1938,1938
1517491091,1937,1937
1517494687,1937,1937
1517498287,1925,1925
1517511097,1927,1927
1517512693,1925,1925
1517513599,1930,1930
1517517197,1932,1932
1517519886,1931,1931
1517520797,1930,1930
1517521694,1929,1929
1517522631,1928,1928
1517523499,1926,1926
1517527094,1931,1931
1517534289,1933,1933
1517541496,1931,1931
1517548695,1931,1931
1517555887,1934,1934
1517559484,1935,1935
1517562201,1936,1936
1517563097,1936,1936
1517570288,1937,1937
1517577492,1937,1937
1517581085,1936,1936
1517584684,1938,1938
1517585585,1937,1937
1517586560,1938,1938
1517593742,1936,1936
1517599103,1936,1936
1517599984,1935,1935
1517606286,1935,1935
1517609890,1937,1937
1517612639,1938,1938
1517613490,1939,1939
1517620699,1938,1938
1517621586,1939,1939
1517627891,1937,1937
1517635095,1932,1932
1517637827,1934,1934
1517642289,1934,1934
1517649495,1935,1935
1517656687,1936,1936
1517663036,1935,1935
1517663885,1936,1936
1517669288,1934,1934
1517671105,1931,1931
1517678291,1931,1931
1517681881,1932,1932
1517685484,1932,1932
1517696285,1928,1928
1517699894,1927,1927
1517707089,1927,1927
1517714285,1918,1918
1517715194,1919,1919
1517726027,1918,1918
1517728691,1935,1935
1517735893,1933,1933
1517743086,1934,1934
1517748492,1935,1935
1517750292,1936,1936
1517757492,1937,1937
1517764694,1938,1938
1517771893,1941,1941
1517772782,1942,1942
1517779088,1942,1942
1517786293,1939,1939
1517789036,1937,1937
1517793499,1939,1939
1517800695,1933,1933
1517807895,1934,1934
1517815093,1934,1934
1517822282,1936,1936
1517826796,1937,1937
1517829483,1933,1933
1517836689,1935,1935
1517843881,1934,1934
1517847494,1935,1935
1517851089,1934,1934
1517857433,1929,1929
1517858280,1931,1931
1517861950,1926,1926
1517865482,1935,1935
1517874491,2014,2014
1517876287,2015,2015
1517879888,2017,2017
1517883490,2016,2016
1517887095,2012,2012
1517892492,2013,2013
1517894281,2012,2012
1517901481,2015,2015
1517908701,2012,2012
1517915881,2012,2012
1517923112,2014,2014
1517930290,2011,2011
1517937501,2013,2013
1517944699,2016,2016
1517951883,2016,2016
1517955490,2015,2015
1517956397,2013,2013
1517957296,2012,2012
1517959090,2018,2018
1517960907,2017,2017
1517963591,2016,2016
1517966286,2015,2015
1517973507,2011,2011
1517980691,2012,2012
1517987888,2007,2007
1517995095,2011,2011
1518002288,2008,2008
